id,x,y,minlon,maxlon,minla,maxla,landuse
237.0,17.0,194.0,4.5571,4.56,52.4565,52.4583,4.0
238.0,18.0,30.0,4.5601,4.563,52.1614,52.1631,5.0
239.0,18.0,33.0,4.5601,4.563,52.1667,52.1685,3.0
240.0,18.0,61.0,4.5601,4.563,52.2171,52.2189,4.0
241.0,18.0,62.0,4.5601,4.563,52.218999999999994,52.2207,1.0
242.0,18.0,74.0,4.5601,4.563,52.2406,52.2423,1.0
243.0,18.0,75.0,4.5601,4.563,52.2423,52.2441,1.0
244.0,18.0,77.0,4.5601,4.563,52.2459,52.2477,1.0
245.0,18.0,78.0,4.5601,4.563,52.2477,52.2495,1.0
246.0,18.0,79.0,4.5601,4.563,52.2496,52.2513,3.0
247.0,18.0,80.0,4.5601,4.563,52.2513,52.2531,3.0
248.0,18.0,82.0,4.5601,4.563,52.2549,52.2567,3.0
249.0,18.0,83.0,4.5601,4.563,52.2567,52.2585,1.0
250.0,18.0,84.0,4.5601,4.563,52.2586,52.2603,1.0
251.0,18.0,85.0,4.5601,4.563,52.2603,52.2621,1.0
252.0,18.0,86.0,4.5601,4.563,52.2622,52.2639,1.0
253.0,18.0,87.0,4.5601,4.563,52.2639,52.2657,1.0
254.0,18.0,88.0,4.5601,4.563,52.2657,52.2675,1.0
255.0,18.0,89.0,4.5601,4.563,52.2676,52.2693,3.0
256.0,18.0,101.0,4.5601,4.563,52.2892,52.2909,3.0
257.0,18.0,102.0,4.5601,4.563,52.2909,52.2927,1.0
259.0,18.0,105.0,4.5601,4.563,52.2963,52.2981,1.0
263.0,18.0,195.0,4.5601,4.563,52.4583,52.4601,4.0
266.0,19.0,32.0,4.5631,4.566,52.165,52.1667,3.0
269.0,19.0,46.0,4.5631,4.566,52.1901,52.1919,2.0
272.0,19.0,62.0,4.5631,4.566,52.218999999999994,52.2207,3.0
275.0,19.0,79.0,4.5631,4.566,52.2496,52.2513,1.0
276.0,19.0,81.0,4.5631,4.566,52.2532,52.2549,3.0
277.0,19.0,82.0,4.5631,4.566,52.2549,52.2567,1.0
